년도,지역,면적 (ha),생산량 (톤)
2018,경기도,2036,175931
2018,경상남도,843,72565
2018,경상북도,4100,298532
2018,광주광역시,91,7233
2018,대구광역시,239,10686
2018,대전광역시,56,6361
2018,부산광역시,71,7535
2018,서울특별시,6,544
2018,세종특별자치시,61,4067
2018,울산광역시,111,11511
2018,인천광역시,131,15080
2018,전라남도,9558,807579
2018,전라북도,2209,193611
2018,제주도,264,17508
2018,충청남도,1740,158854
2018,충청북도,2685,216651
2019,강원도,1189,114111
2019,경기도,1215,119551
2019,경상남도,467,44447
2019,경상북도,1660,154884
2019,광주광역시,41,4190
2019,대구광역시,44,4974
2019,대전광역시,36,3517
2019,부산광역시,40,4890
2019,서울특별시,3,358
2019,세종특별자치시,37,3865
2019,울산광역시,58,5675
2019,인천광역시,112,13601
2019,전라남도,2666,270034
2019,전라북도,1086,104488
2019,제주도,0,14
2019,충청남도,919,92513
2019,충청북도,1394,118812
