days,region,temperature,rainfall,daylight,weeks
2015-03-10,Sinan,0.6,0,9,11
2015-03-10,Goheung,0.2,0,10,11
2015-03-10,Gochang,-0.5,0,7,11
2015-03-10,Andong,-2.8,0,11,11
2015-03-10,Uiseong,-2.3,0,10,11
2015-03-11,Sinan,5.7,0,10,11
2015-03-11,Goheung,4.9,0,10,11
2015-03-11,Gochang,4.6,0,9,11
2015-03-11,Andong,1.4,0,9,11
2015-03-11,Uiseong,1.7,0,8,11
2015-03-12,Sinan,6.3,0,11,11
2015-03-12,Goheung,5.2,0,10,11
2015-03-12,Gochang,4.9,0,10,11
2015-03-12,Andong,2.9,0,11,11
2015-03-12,Uiseong,1.2,0,11,11
2015-03-13,Sinan,8.3,0,4,11
2015-03-13,Goheung,7.5,0,2,11
2015-03-13,Gochang,6.9,2,0,11
2015-03-13,Andong,4.1,1.5,7,11
2015-03-13,Uiseong,1.5,0.2,6,11
2015-03-14,Sinan,5.1,0,7,11
2015-03-14,Goheung,7.4,0,8,11
2015-03-14,Gochang,4,0,8,11
2015-03-14,Andong,4.2,0,10,11
2015-03-14,Uiseong,2.6,0,9,11
2015-03-15,Sinan,6.7,0,9,12
2015-03-15,Goheung,7.8,0,7,12
2015-03-15,Gochang,6.1,0,8,12
2015-03-15,Andong,6.9,0,10,12
2015-03-15,Uiseong,5,0,10,12
2015-03-16,Sinan,9.5,0,10,12
2015-03-16,Goheung,10.4,0,9,12
2015-03-16,Gochang,10,0,9,12
2015-03-16,Andong,8.7,0,11,12
2015-03-16,Uiseong,7,0,9,12
2015-03-17,Sinan,11.6,0,5,12
2015-03-17,Goheung,11.8,0,6,12
2015-03-17,Gochang,13.2,0,5,12
2015-03-17,Andong,11.7,0,8,12
2015-03-17,Uiseong,10,0,6,12
2015-03-18,Sinan,8.4,25.5,1,12
2015-03-18,Goheung,12.1,62.5,0,12
2015-03-18,Gochang,11,21.5,0,12
2015-03-18,Andong,8.8,32,2,12
2015-03-18,Uiseong,8,35.5,0,12
2015-03-19,Sinan,8.3,0,11,12
2015-03-19,Goheung,12.3,2,4,12
2015-03-19,Gochang,11.8,0.5,9,12
2015-03-19,Andong,12.3,0.3,9,12
2015-03-19,Uiseong,11.5,0.5,8,12
2015-03-20,Sinan,9,0,9,12
2015-03-20,Goheung,13.2,0,5,12
2015-03-20,Gochang,11.4,0,6,12
2015-03-20,Andong,13,0,8,12
2015-03-20,Uiseong,11.4,0,7,12
2015-03-21,Sinan,10.7,0,10,12
2015-03-21,Goheung,14,0,10,12
2015-03-21,Gochang,12.1,0,10,12
2015-03-21,Andong,11.9,0,11,12
2015-03-21,Uiseong,10.1,0,10,12
2015-03-22,Sinan,7.5,0,11,13
2015-03-22,Goheung,12.1,0,10,13
2015-03-22,Gochang,8.1,0,8,13
2015-03-22,Andong,9.4,0,11,13
2015-03-22,Uiseong,8.5,0,10,13
2015-03-23,Sinan,6,0,11,13
2015-03-23,Goheung,6.8,0,11,13
2015-03-23,Gochang,5.3,0,11,13
2015-03-23,Andong,5.2,0,12,13
2015-03-23,Uiseong,4.6,0,11,13
2015-03-24,Sinan,5.7,0,11,13
2015-03-24,Goheung,6,0,11,13
2015-03-24,Gochang,4,0,11,13
2015-03-24,Andong,5.1,0,12,13
2015-03-24,Uiseong,3.3,0,11,13
2015-03-25,Sinan,5.3,0,12,13
2015-03-25,Goheung,6.2,0,10,13
2015-03-25,Gochang,4.8,0,11,13
2015-03-25,Andong,6.2,0,12,13
2015-03-25,Uiseong,4.1,0,11,13
2015-03-26,Sinan,6.7,0,11,13
2015-03-26,Goheung,7.7,0,11,13
2015-03-26,Gochang,6.6,0,11,13
2015-03-26,Andong,8.7,0,12,13
2015-03-26,Uiseong,6.1,0,11,13
2015-03-27,Sinan,7.7,0,10,13
2015-03-27,Goheung,9,0,7,13
2015-03-27,Gochang,8.2,0,9,13
2015-03-27,Andong,10.2,0,11,13
2015-03-27,Uiseong,7.4,0,9,13
2015-03-28,Sinan,9.2,0,7,13
2015-03-28,Goheung,11.7,0,3,13
2015-03-28,Gochang,9.6,0,6,13
2015-03-28,Andong,11.7,0,11,13
2015-03-28,Uiseong,10.6,0,10,13
2015-03-29,Sinan,9.5,0,3,14
2015-03-29,Goheung,12.7,0,9,14
2015-03-29,Gochang,11.1,0,8,14
2015-03-29,Andong,13,0,10,14
2015-03-29,Uiseong,11.4,0,7,14
2015-03-30,Sinan,9.8,0,2,14
2015-03-30,Goheung,13,0,7,14
2015-03-30,Gochang,13.8,0,11,14
2015-03-30,Andong,14.3,0,11,14
2015-03-30,Uiseong,12.1,0,10,14
2015-03-31,Sinan,11.5,0.5,0,14
2015-03-31,Goheung,13.4,9.5,0,14
2015-03-31,Gochang,15.5,0.4,0,14
2015-03-31,Andong,12,4,1,14
2015-03-31,Uiseong,10.4,1.5,0,14
2015-04-01,Sinan,10.4,0.5,1,14
2015-04-01,Goheung,13.7,0.5,0,14
2015-04-01,Gochang,15,1,0,14
2015-04-01,Andong,9.8,2,2,14
